title,slug,url,difficulty,acceptance_rate,prompt,examples,tags
Count Alternating Subarrays,count-alternating-subarrays,https://leetcode.com/problems/count-alternating-subarrays/,2,56.16,,,
Maximum Prime Difference,maximum-prime-difference,https://leetcode.com/problems/maximum-prime-difference/,2,57.26,,,
Longest Strictly Increasing or Strictly Decreasing Subarray,longest-strictly-increasing-or-strictly-decreasing-subarray,https://leetcode.com/problems/longest-strictly-increasing-or-strictly-decreasing-subarray/,1,65.1,,,
Harshad Number,harshad-number,https://leetcode.com/problems/harshad-number/,1,83.07,,,
Guess the Number Using Bitwise Questions I,guess-the-number-using-bitwise-questions-i,https://leetcode.com/problems/guess-the-number-using-bitwise-questions-i/,2,90.17,,,
Calculate Trapping Rain Water,calculate-trapping-rain-water,https://leetcode.com/problems/calculate-trapping-rain-water/,3,81.99,,,
Winner of the Linked List Game,winner-of-the-linked-list-game,https://leetcode.com/problems/winner-of-the-linked-list-game/,1,78.73,,,
Find the Sum of Encrypted Integers,find-the-sum-of-encrypted-integers,https://leetcode.com/problems/find-the-sum-of-encrypted-integers/,1,73.39,,,
User Activities within Time Bounds,user-activities-within-time-bounds,https://leetcode.com/problems/user-activities-within-time-bounds/,3,39.62,,,
Find All Unique Email Domains,find-all-unique-email-domains,https://leetcode.com/problems/find-all-unique-email-domains/,1,70.3,,,
Minimum Sum of Values by Dividing Array,minimum-sum-of-values-by-dividing-array,https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array/,3,26.94,,,
Most Frequent IDs,most-frequent-ids,https://leetcode.com/problems/most-frequent-ids/,2,41.43,,,
Latest Time You Can Obtain After Replacing Characters,latest-time-you-can-obtain-after-replacing-characters,https://leetcode.com/problems/latest-time-you-can-obtain-after-replacing-characters/,1,34.24,,,
Find the Median of the Uniqueness Array,find-the-median-of-the-uniqueness-array,https://leetcode.com/problems/find-the-median-of-the-uniqueness-array/,3,27.75,,,
Minimum Deletions to Make String K-Special,minimum-deletions-to-make-string-k-special,https://leetcode.com/problems/minimum-deletions-to-make-string-k-special/,2,44.26,,,
Friends With No Mutual Friends,friends-with-no-mutual-friends,https://leetcode.com/problems/friends-with-no-mutual-friends/,2,48.47,,,
Linked List Frequency,linked-list-frequency,https://leetcode.com/problems/linked-list-frequency/,1,85.68,,,
Employees Project Allocation,employees-project-allocation,https://leetcode.com/problems/employees-project-allocation/,3,68.53,,,
Shortest Uncommon Substring in an Array,shortest-uncommon-substring-in-an-array,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array/,2,47.7,,,
Minimum Levels to Gain More Points,minimum-levels-to-gain-more-points,https://leetcode.com/problems/minimum-levels-to-gain-more-points/,2,38.91,,,
Existence of a Substring in a String and Its Reverse,existence-of-a-substring-in-a-string-and-its-reverse,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse/,1,65.52,,,
Replace Question Marks in String to Minimize Its Value,replace-question-marks-in-string-to-minimize-its-value,https://leetcode.com/problems/replace-question-marks-in-string-to-minimize-its-value/,2,27.64,,,
Find Pattern in Infinite Stream II,find-pattern-in-infinite-stream-ii,https://leetcode.com/problems/find-pattern-in-infinite-stream-ii/,3,68.37,,,
Maximize Happiness of Selected Children,maximize-happiness-of-selected-children,https://leetcode.com/problems/maximize-happiness-of-selected-children/,2,54.81,,,
Distribute Elements Into Two Arrays II,distribute-elements-into-two-arrays-ii,https://leetcode.com/problems/distribute-elements-into-two-arrays-ii/,3,29.11,,,
Maximum Length Substring With Two Occurrences,maximum-length-substring-with-two-occurrences,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences/,1,63.19,,,
Minimum Cost Walk in Weighted Graph,minimum-cost-walk-in-weighted-graph,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph/,3,68.56,,,
Distribute Elements Into Two Arrays I,distribute-elements-into-two-arrays-i,https://leetcode.com/problems/distribute-elements-into-two-arrays-i/,1,72.82,,,
Lexicographically Smallest String After Operations With Constraint,lexicographically-smallest-string-after-operations-with-constraint,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint/,2,62.12,,,
Find the Sum of the Power of All Subsequences,find-the-sum-of-the-power-of-all-subsequences,https://leetcode.com/problems/find-the-sum-of-the-power-of-all-subsequences/,3,36.26,,,
Minimize Manhattan Distances,minimize-manhattan-distances,https://leetcode.com/problems/minimize-manhattan-distances/,3,31.27,,,
Count Numbers With Unique Digits II,count-numbers-with-unique-digits-ii,https://leetcode.com/problems/count-numbers-with-unique-digits-ii/,1,87.94,,,
Top Percentile Fraud,top-percentile-fraud,https://leetcode.com/problems/top-percentile-fraud/,2,58.45,,,
Snaps Analysis,snaps-analysis,https://leetcode.com/problems/snaps-analysis/,2,58.33,,,
Count Submatrices with Top-Left Element and Sum Less Than k,count-submatrices-with-top-left-element-and-sum-less-than-k,https://leetcode.com/problems/count-submatrices-with-top-left-element-and-sum-less-than-k/,2,57.0,,,
Count Substrings Starting and Ending with Given Character,count-substrings-starting-and-ending-with-given-character,https://leetcode.com/problems/count-substrings-starting-and-ending-with-given-character/,2,48.78,,,
Water Bottles II,water-bottles-ii,https://leetcode.com/problems/water-bottles-ii/,2,62.1,,,
Minimum Operations to Write the Letter Y on a Grid,minimum-operations-to-write-the-letter-y-on-a-grid,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid/,2,61.34,,,
Find Pattern in Infinite Stream I,find-pattern-in-infinite-stream-i,https://leetcode.com/problems/find-pattern-in-infinite-stream-i/,2,56.74,,,
Apple Redistribution into Boxes,apple-redistribution-into-boxes,https://leetcode.com/problems/apple-redistribution-into-boxes/,1,67.95,,,
Minimum Operations to Exceed Threshold Value II,minimum-operations-to-exceed-threshold-value-ii,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii/,2,45.7,,,
Minimum Operations to Exceed Threshold Value I,minimum-operations-to-exceed-threshold-value-i,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-i/,1,85.9,,,
Modify the Matrix,modify-the-matrix,https://leetcode.com/problems/modify-the-matrix/,1,68.22,,,
Find the Length of the Longest Common Prefix,find-the-length-of-the-longest-common-prefix,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix/,2,56.32,,,
Apply Operations to Make Sum of Array Greater Than or Equal to k,apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k/,2,43.28,,,
Minimum Moves to Pick K Ones,minimum-moves-to-pick-k-ones,https://leetcode.com/problems/minimum-moves-to-pick-k-ones/,3,20.63,,,
Find the Largest Area of Square Inside Two Rectangles,find-the-largest-area-of-square-inside-two-rectangles,https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles/,2,44.87,,,
Count Pairs of Connectable Servers in a Weighted Tree Network,count-pairs-of-connectable-servers-in-a-weighted-tree-network,https://leetcode.com/problems/count-pairs-of-connectable-servers-in-a-weighted-tree-network/,2,53.86,,,
Split the Array,split-the-array,https://leetcode.com/problems/split-the-array/,1,58.95,,,
Type of Triangle,type-of-triangle,https://leetcode.com/problems/type-of-triangle/,1,38.0,,,
Maximum Number of Removal Queries That Can Be Processed I,maximum-number-of-removal-queries-that-can-be-processed-i,https://leetcode.com/problems/maximum-number-of-removal-queries-that-can-be-processed-i/,3,43.2,,,
Maximum Palindromes After Operations,maximum-palindromes-after-operations,https://leetcode.com/problems/maximum-palindromes-after-operations/,2,42.89,,,
Maximum Number of Operations With the Same Score II,maximum-number-of-operations-with-the-same-score-ii,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-ii/,2,32.94,,,
Maximum Number of Operations With the Same Score I,maximum-number-of-operations-with-the-same-score-i,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-i/,1,51.76,,,
Find the Sum of Subsequence Powers,find-the-sum-of-subsequence-powers,https://leetcode.com/problems/find-the-sum-of-subsequence-powers/,3,23.24,,,
Maximum Number of Intersections on the Chart,maximum-number-of-intersections-on-the-chart,https://leetcode.com/problems/maximum-number-of-intersections-on-the-chart/,3,45.01,,,
Most Frequent Prime,most-frequent-prime,https://leetcode.com/problems/most-frequent-prime/,2,44.75,,,
Maximum Strength of K Disjoint Subarrays,maximum-strength-of-k-disjoint-subarrays,https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays/,3,26.66,,,
Number of Changing Keys,number-of-changing-keys,https://leetcode.com/problems/number-of-changing-keys/,1,79.57,,,
Ant on the Boundary,ant-on-the-boundary,https://leetcode.com/problems/ant-on-the-boundary/,1,73.55,,,
Count the Number of Houses at a Certain Distance II,count-the-number-of-houses-at-a-certain-distance-ii,https://leetcode.com/problems/count-the-number-of-houses-at-a-certain-distance-ii/,3,21.46,,,
Count Prefix and Suffix Pairs I,count-prefix-and-suffix-pairs-i,https://leetcode.com/problems/count-prefix-and-suffix-pairs-i/,1,77.65,,,
Apply Operations to Make String Empty,apply-operations-to-make-string-empty,https://leetcode.com/problems/apply-operations-to-make-string-empty/,2,55.98,,,
Find the Maximum Sum of Node Values,find-the-maximum-sum-of-node-values,https://leetcode.com/problems/find-the-maximum-sum-of-node-values/,3,65.21,,,
Mark Elements on Array by Performing Queries,mark-elements-on-array-by-performing-queries,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries/,2,47.46,,,
Count Prefix and Suffix Pairs II,count-prefix-and-suffix-pairs-ii,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii/,3,26.89,,,
Maximum Subtree of the Same Color,maximum-subtree-of-the-same-color,https://leetcode.com/problems/maximum-subtree-of-the-same-color/,2,56.72,,,
Viewers Turned Streamers,viewers-turned-streamers,https://leetcode.com/problems/viewers-turned-streamers/,3,43.11,,,
Find Beautiful Indices in the Given Array II,find-beautiful-indices-in-the-given-array-ii,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii/,3,26.12,,,
Friday Purchases II ,friday-purchases-ii,https://leetcode.com/problems/friday-purchases-ii/,3,76.89,,,
Friday Purchases I,friday-purchases-i,https://leetcode.com/problems/friday-purchases-i/,2,81.26,,,
Maximize Consecutive Elements in an Array After Modification,maximize-consecutive-elements-in-an-array-after-modification,https://leetcode.com/problems/maximize-consecutive-elements-in-an-array-after-modification/,3,32.13,,,
Minimum Time to Revert Word to Initial State I,minimum-time-to-revert-word-to-initial-state-i,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-i/,2,41.12,,,
Find the Maximum Number of Elements in Subset,find-the-maximum-number-of-elements-in-subset,https://leetcode.com/problems/find-the-maximum-number-of-elements-in-subset/,2,26.3,,,
Minimum Time to Revert Word to Initial State II,minimum-time-to-revert-word-to-initial-state-ii,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii/,3,34.23,,,
Number of Self-Divisible Permutations,number-of-self-divisible-permutations,https://leetcode.com/problems/number-of-self-divisible-permutations/,2,72.11,,,
Earliest Second to Mark Indices I,earliest-second-to-mark-indices-i,https://leetcode.com/problems/earliest-second-to-mark-indices-i/,2,34.29,,,
Number of Subarrays That Match a Pattern II,number-of-subarrays-that-match-a-pattern-ii,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-ii/,3,31.86,,,
Find if Array Can Be Sorted,find-if-array-can-be-sorted,https://leetcode.com/problems/find-if-array-can-be-sorted/,2,66.54,,,
Earliest Second to Mark Indices II,earliest-second-to-mark-indices-ii,https://leetcode.com/problems/earliest-second-to-mark-indices-ii/,3,20.13,,,
Top Three Wineries ,top-three-wineries,https://leetcode.com/problems/top-three-wineries/,3,57.26,,,
Loan Types,loan-types,https://leetcode.com/problems/loan-types/,1,63.68,,,
Class Performance,class-performance,https://leetcode.com/problems/class-performance/,2,89.45,,,
Find Expensive Cities,find-expensive-cities,https://leetcode.com/problems/find-expensive-cities/,1,79.99,,,
Manager of the Largest Department,manager-of-the-largest-department,https://leetcode.com/problems/manager-of-the-largest-department/,2,81.01,,,
Find Third Transaction,find-third-transaction,https://leetcode.com/problems/find-third-transaction/,2,53.72,,,
Calculate Compressed Mean,calculate-compressed-mean,https://leetcode.com/problems/calculate-compressed-mean/,1,87.95,,,
Find Peak Calling Hours for Each City,find-peak-calling-hours-for-each-city,https://leetcode.com/problems/find-peak-calling-hours-for-each-city/,2,61.98,,,
Find the Number of Ways to Place People I,find-the-number-of-ways-to-place-people-i,https://leetcode.com/problems/find-the-number-of-ways-to-place-people-i/,2,40.6,,,
Alice and Bob Playing Flower Game,alice-and-bob-playing-flower-game,https://leetcode.com/problems/alice-and-bob-playing-flower-game/,2,45.52,,,
Find the Number of Ways to Place People II,find-the-number-of-ways-to-place-people-ii,https://leetcode.com/problems/find-the-number-of-ways-to-place-people-ii/,3,45.76,,,
Minimum Number of Pushes to Type Word I,minimum-number-of-pushes-to-type-word-i,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-i/,1,66.07,,,
Minimum Number of Pushes to Type Word II,minimum-number-of-pushes-to-type-word-ii,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-ii/,2,79.9,,,
Most Expensive Item That Can Not Be Bought,most-expensive-item-that-can-not-be-bought,https://leetcode.com/problems/most-expensive-item-that-can-not-be-bought/,2,80.23,,,
Find the Grid of Region Average,find-the-grid-of-region-average,https://leetcode.com/problems/find-the-grid-of-region-average/,2,42.06,,,
Count the Number of Houses at a Certain Distance I,count-the-number-of-houses-at-a-certain-distance-i,https://leetcode.com/problems/count-the-number-of-houses-at-a-certain-distance-i/,2,54.67,,,
Minimum Moves to Capture The Queen,minimum-moves-to-capture-the-queen,https://leetcode.com/problems/minimum-moves-to-capture-the-queen/,2,21.33,,,
Number of Subarrays That Match a Pattern I,number-of-subarrays-that-match-a-pattern-i,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i/,2,66.42,,,
Minimum Number of Coins for Fruits II,minimum-number-of-coins-for-fruits-ii,https://leetcode.com/problems/minimum-number-of-coins-for-fruits-ii/,3,44.95,,,
Find Longest Special Substring That Occurs Thrice I,find-longest-special-substring-that-occurs-thrice-i,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-i/,2,61.89,,,
Find Longest Special Substring That Occurs Thrice II,find-longest-special-substring-that-occurs-thrice-ii,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii/,2,38.26,,,
Find Polygon With the Largest Perimeter,find-polygon-with-the-largest-perimeter,https://leetcode.com/problems/find-polygon-with-the-largest-perimeter/,2,65.33,,,
Maximum Points After Enemy Battles,maximum-points-after-enemy-battles,https://leetcode.com/problems/maximum-points-after-enemy-battles/,2,32.42,,,
Divide an Array Into Subarrays With Minimum Cost I,divide-an-array-into-subarrays-with-minimum-cost-i,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i/,1,65.56,,,
Maximum Good Subarray Sum,maximum-good-subarray-sum,https://leetcode.com/problems/maximum-good-subarray-sum/,2,20.06,,,
Minimize OR of Remaining Elements Using Operations,minimize-or-of-remaining-elements-using-operations,https://leetcode.com/problems/minimize-or-of-remaining-elements-using-operations/,3,28.69,,,
Classifying Triangles by Lengths,classifying-triangles-by-lengths,https://leetcode.com/problems/classifying-triangles-by-lengths/,1,50.56,,,
Divide an Array Into Subarrays With Minimum Cost II,divide-an-array-into-subarrays-with-minimum-cost-ii,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii/,3,29.82,,,
Maximize Items,maximize-items,https://leetcode.com/problems/maximize-items/,3,74.91,,,
Find Candidates for Data Scientist Position,find-candidates-for-data-scientist-position,https://leetcode.com/problems/find-candidates-for-data-scientist-position/,1,76.16,,,
Pizza Toppings Cost Analysis,pizza-toppings-cost-analysis,https://leetcode.com/problems/pizza-toppings-cost-analysis/,2,67.79,,,
Symmetric Coordinates,symmetric-coordinates,https://leetcode.com/problems/symmetric-coordinates/,2,40.51,,,
Number of Divisible Triplet Sums,number-of-divisible-triplet-sums,https://leetcode.com/problems/number-of-divisible-triplet-sums/,2,67.38,,,
Binary Tree Nodes,binary-tree-nodes,https://leetcode.com/problems/binary-tree-nodes/,2,79.0,,,
Count the Number of Incremovable Subarrays I,count-the-number-of-incremovable-subarrays-i,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-i/,1,54.42,,,
Maximum Area of Longest Diagonal Rectangle,maximum-area-of-longest-diagonal-rectangle,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle/,1,36.36,,,
Minimum Number of Operations to Make Array XOR Equal to K,minimum-number-of-operations-to-make-array-xor-equal-to-k,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k/,2,85.31,,,
Count the Number of Incremovable Subarrays II,count-the-number-of-incremovable-subarrays-ii,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii/,3,38.67,,,
Maximum Square Area by Removing Fences From a Field,maximum-square-area-by-removing-fences-from-a-field,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field/,2,23.92,,,
Number of Same-End Substrings,number-of-same-end-substrings,https://leetcode.com/problems/number-of-same-end-substrings/,2,61.28,,,
Check if Bitwise OR Has Trailing Zeros,check-if-bitwise-or-has-trailing-zeros,https://leetcode.com/problems/check-if-bitwise-or-has-trailing-zeros/,1,69.61,,,
Minimize Length of Array Using Operations,minimize-length-of-array-using-operations,https://leetcode.com/problems/minimize-length-of-array-using-operations/,2,34.66,,,
Count the Number of Powerful Integers,count-the-number-of-powerful-integers,https://leetcode.com/problems/count-the-number-of-powerful-integers/,3,46.56,,,
Find Beautiful Indices in the Given Array I,find-beautiful-indices-in-the-given-array-i,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i/,2,38.02,,,
Count Elements With Maximum Frequency,count-elements-with-maximum-frequency,https://leetcode.com/problems/count-elements-with-maximum-frequency/,1,77.9,,,
Divide Array Into Arrays With Max Difference,divide-array-into-arrays-with-max-difference,https://leetcode.com/problems/divide-array-into-arrays-with-max-difference/,2,71.68,,,
Maximum Number That Sum of the Prices Is Less Than or Equal to K,maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,https://leetcode.com/problems/maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k/,2,36.65,,,
Minimum Number of Operations to Make X and Y Equal,minimum-number-of-operations-to-make-x-and-y-equal,https://leetcode.com/problems/minimum-number-of-operations-to-make-x-and-y-equal/,2,47.09,,,
Minimum Cost to Convert String II,minimum-cost-to-convert-string-ii,https://leetcode.com/problems/minimum-cost-to-convert-string-ii/,3,25.34,,,
Number of Divisible Substrings,number-of-divisible-substrings,https://leetcode.com/problems/number-of-divisible-substrings/,2,73.18,,,
Minimum Cost to Convert String I,minimum-cost-to-convert-string-i,https://leetcode.com/problems/minimum-cost-to-convert-string-i/,2,57.69,,,
Maximize the Number of Partitions After Operations,maximize-the-number-of-partitions-after-operations,https://leetcode.com/problems/maximize-the-number-of-partitions-after-operations/,3,27.22,,,
Smallest Missing Integer Greater Than Sequential Prefix Sum,smallest-missing-integer-greater-than-sequential-prefix-sum,https://leetcode.com/problems/smallest-missing-integer-greater-than-sequential-prefix-sum/,1,33.42,,,
Double Modular Exponentiation,double-modular-exponentiation,https://leetcode.com/problems/double-modular-exponentiation/,2,46.92,,,
Remove Adjacent Almost-Equal Characters,remove-adjacent-almost-equal-characters,https://leetcode.com/problems/remove-adjacent-almost-equal-characters/,2,51.49,,,
Maximum GCD-Sum of a Subarray,maximum-gcd-sum-of-a-subarray,https://leetcode.com/problems/maximum-gcd-sum-of-a-subarray/,3,36.36,,,
Minimum Number of Coins to be Added,minimum-number-of-coins-to-be-added,https://leetcode.com/problems/minimum-number-of-coins-to-be-added/,2,56.45,,,
Minimum Cost to Make Array Equalindromic,minimum-cost-to-make-array-equalindromic,https://leetcode.com/problems/minimum-cost-to-make-array-equalindromic/,2,22.36,,,
Maximum Size of a Set After Removals,maximum-size-of-a-set-after-removals,https://leetcode.com/problems/maximum-size-of-a-set-after-removals/,2,44.62,,,
Minimum Number Game,minimum-number-game,https://leetcode.com/problems/minimum-number-game/,1,84.78,,,
Length of Longest Subarray With at Most K Frequency,length-of-longest-subarray-with-at-most-k-frequency,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency/,2,55.65,,,
Count Complete Substrings,count-complete-substrings,https://leetcode.com/problems/count-complete-substrings/,3,28.24,,,
Find Missing and Repeated Values,find-missing-and-repeated-values,https://leetcode.com/problems/find-missing-and-repeated-values/,1,83.68,,,
Count the Number of Infection Sequences,count-the-number-of-infection-sequences,https://leetcode.com/problems/count-the-number-of-infection-sequences/,3,33.08,,,
Number of Equal Numbers Blocks,number-of-equal-numbers-blocks,https://leetcode.com/problems/number-of-equal-numbers-blocks/,2,62.61,,,
Find Number of Coins to Place in Tree Nodes,find-number-of-coins-to-place-in-tree-nodes,https://leetcode.com/problems/find-number-of-coins-to-place-in-tree-nodes/,3,35.91,,,
Count Tested Devices After Test Operations,count-tested-devices-after-test-operations,https://leetcode.com/problems/count-tested-devices-after-test-operations/,1,78.34,,,
Make Lexicographically Smallest Array by Swapping Elements,make-lexicographically-smallest-array-by-swapping-elements,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements/,2,60.25,,,
Find the Peaks,find-the-peaks,https://leetcode.com/problems/find-the-peaks/,1,74.0,,,
Distribute Candies Among Children III,distribute-candies-among-children-iii,https://leetcode.com/problems/distribute-candies-among-children-iii/,3,43.72,,,
Maximize Area of Square Hole in Grid,maximize-area-of-square-hole-in-grid,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid/,2,36.7,,,
Number of Possible Sets of Closing Branches,number-of-possible-sets-of-closing-branches,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches/,3,47.97,,,
Count Subarrays Where Max Element Appears at Least K Times,count-subarrays-where-max-element-appears-at-least-k-times,https://leetcode.com/problems/count-subarrays-where-max-element-appears-at-least-k-times/,2,62.51,,,
Matrix Similarity After Cyclic Shifts,matrix-similarity-after-cyclic-shifts,https://leetcode.com/problems/matrix-similarity-after-cyclic-shifts/,1,57.99,,,
Count the Number of Good Partitions,count-the-number-of-good-partitions,https://leetcode.com/problems/count-the-number-of-good-partitions/,3,46.37,,,
Find Maximum Non-decreasing Array Length,find-maximum-non-decreasing-array-length,https://leetcode.com/problems/find-maximum-non-decreasing-array-length/,3,16.89,,,
Count Beautiful Substrings II,count-beautiful-substrings-ii,https://leetcode.com/problems/count-beautiful-substrings-ii/,3,24.65,,,
Minimum Number of Coins for Fruits,minimum-number-of-coins-for-fruits,https://leetcode.com/problems/minimum-number-of-coins-for-fruits/,2,46.48,,,
Count Beautiful Substrings I,count-beautiful-substrings-i,https://leetcode.com/problems/count-beautiful-substrings-i/,2,59.39,,,
Make Three Strings Equal,make-three-strings-equal,https://leetcode.com/problems/make-three-strings-equal/,1,42.93,,,
Find Common Elements Between Two Arrays,find-common-elements-between-two-arrays,https://leetcode.com/problems/find-common-elements-between-two-arrays/,1,83.48,,,
Market Analysis III,market-analysis-iii,https://leetcode.com/problems/market-analysis-iii/,2,41.55,,,
Palindrome Rearrangement Queries,palindrome-rearrangement-queries,https://leetcode.com/problems/palindrome-rearrangement-queries/,3,22.9,,,
Maximum Profitable Triplets With Increasing Prices II,maximum-profitable-triplets-with-increasing-prices-ii,https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-ii/,3,45.56,,,
High-Access Employees,high-access-employees,https://leetcode.com/problems/high-access-employees/,2,45.8,,,
Number of Strings Which Can Be Rearranged to Contain Substring,number-of-strings-which-can-be-rearranged-to-contain-substring,https://leetcode.com/problems/number-of-strings-which-can-be-rearranged-to-contain-substring/,2,54.88,,,
Distribute Candies Among Children II,distribute-candies-among-children-ii,https://leetcode.com/problems/distribute-candies-among-children-ii/,2,34.89,,,
Number of Ways to Reach Destination in the Grid,number-of-ways-to-reach-destination-in-the-grid,https://leetcode.com/problems/number-of-ways-to-reach-destination-in-the-grid/,3,58.72,,,
Distribute Candies Among Children I,distribute-candies-among-children-i,https://leetcode.com/problems/distribute-candies-among-children-i/,1,73.1,,,
Apply Operations to Maximize Frequency Score,apply-operations-to-maximize-frequency-score,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score/,3,36.14,,,
Maximum Strong Pair XOR II,maximum-strong-pair-xor-ii,https://leetcode.com/problems/maximum-strong-pair-xor-ii/,3,30.5,,,
Separate Black and White Balls,separate-black-and-white-balls,https://leetcode.com/problems/separate-black-and-white-balls/,2,64.09,,,
Maximum Strong Pair XOR I,maximum-strong-pair-xor-i,https://leetcode.com/problems/maximum-strong-pair-xor-i/,1,74.57,,,
Find Words Containing Character,find-words-containing-character,https://leetcode.com/problems/find-words-containing-character/,1,88.4,,,
Maximum Xor Product,maximum-xor-product,https://leetcode.com/problems/maximum-xor-product/,2,26.73,,,
Find Champion II,find-champion-ii,https://leetcode.com/problems/find-champion-ii/,2,69.98,,,
Minimum Operations to Maximize Last Elements in Arrays,minimum-operations-to-maximize-last-elements-in-arrays,https://leetcode.com/problems/minimum-operations-to-maximize-last-elements-in-arrays/,2,43.05,,,
Find Champion I,find-champion-i,https://leetcode.com/problems/find-champion-i/,1,72.24,,,
Maximum Score After Applying Operations on a Tree,maximum-score-after-applying-operations-on-a-tree,https://leetcode.com/problems/maximum-score-after-applying-operations-on-a-tree/,2,45.77,,,
Maximum Profitable Triplets With Increasing Prices I,maximum-profitable-triplets-with-increasing-prices-i,https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-i/,2,54.38,,,
Minimum Sum of Mountain Triplets II,minimum-sum-of-mountain-triplets-ii,https://leetcode.com/problems/minimum-sum-of-mountain-triplets-ii/,2,53.47,,,
Maximum Balanced Subsequence Sum,maximum-balanced-subsequence-sum,https://leetcode.com/problems/maximum-balanced-subsequence-sum/,3,24.78,,,
Find the K-or of an Array,find-the-k-or-of-an-array,https://leetcode.com/problems/find-the-k-or-of-an-array/,1,71.96,,,
Maximum Linear Stock Score,maximum-linear-stock-score,https://leetcode.com/problems/maximum-linear-stock-score/,2,58.46,,,
Find Building Where Alice and Bob Can Meet,find-building-where-alice-and-bob-can-meet,https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet/,3,52.41,,,
Minimum Sum of Mountain Triplets I,minimum-sum-of-mountain-triplets-i,https://leetcode.com/problems/minimum-sum-of-mountain-triplets-i/,1,65.77,,,
Minimizing Array After Replacing Pairs With Their Product,minimizing-array-after-replacing-pairs-with-their-product,https://leetcode.com/problems/minimizing-array-after-replacing-pairs-with-their-product/,2,39.23,,,
Maximum Points After Collecting Coins From All Nodes,maximum-points-after-collecting-coins-from-all-nodes,https://leetcode.com/problems/maximum-points-after-collecting-coins-from-all-nodes/,3,35.6,,,
Minimum Increment Operations to Make Array Beautiful,minimum-increment-operations-to-make-array-beautiful,https://leetcode.com/problems/minimum-increment-operations-to-make-array-beautiful/,2,33.75,,,
Minimum Number of Changes to Make Binary String Beautiful,minimum-number-of-changes-to-make-binary-string-beautiful,https://leetcode.com/problems/minimum-number-of-changes-to-make-binary-string-beautiful/,2,76.51,,,
The Wording Game,the-wording-game,https://leetcode.com/problems/the-wording-game/,3,53.72,,,
Divisible and Non-divisible Sums Difference,divisible-and-non-divisible-sums-difference,https://leetcode.com/problems/divisible-and-non-divisible-sums-difference/,1,88.34,,,
Minimum Equal Sum of Two Arrays After Replacing Zeros,minimum-equal-sum-of-two-arrays-after-replacing-zeros,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros/,2,36.31,,,
Find Indices With Index and Value Difference II,find-indices-with-index-and-value-difference-ii,https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii/,2,31.63,,,
Minimum Number of Groups to Create a Valid Assignment,minimum-number-of-groups-to-create-a-valid-assignment,https://leetcode.com/problems/minimum-number-of-groups-to-create-a-valid-assignment/,2,23.91,,,
